Station,Year,Order,All,Deaths,Male,Female,Day,Night,Line,Type,rX,rY,inx1,iny1,inx2,iny2,outx1,outy1,outx2,outy2
Andheri,2014,1,112,10,101,11,-1,-1,WR,Interchange,480,190,0,200,480,200,520,200,1100,200
Vile Parle,2014,2,75,11,66,8,-1,-1,WR,Slow,1380,190,1100,200,1380,200,1420,200,1600,200
Santacruz,2014,3,42,7,37,5,-1,-1,WR,Slow,1680,190,1600,200,1680,200,1720,200,1900,200
Khar,2014,4,53,6,48,5,-1,-1,WR,Slow,1980,190,1900,200,1980,200,2020,200,2200,200
Bandra,2014,5,96,10,82,14,-1,-1,WR,Interchange,2380,190,2200,200,2380,200,2420,200,2700,200
Mahim,2014,6,79,22,72,7,-1,-1,WR,Slow,2780,190,2700,200,2780,200,2820,200,3000,200
Matunga Road,2014,7,23,1,19,4,-1,-1,WR,Slow,3080,190,3000,200,3080,200,3120,200,3300,200
Dadar W,2014,8,61,7,49,11,-1,-1,WR,Interchange,3380,190,3200,200,3380,200,3420,200,3700,200
Elphinstone Road,2014,9,28,9,26,2,-1,-1,WR,Slow,3780,190,3700,200,3780,200,3820,200,4000,200
Lower Parel,2014,10,37,10,33,4,-1,-1,WR,Slow,4080,190,4000,200,4080,200,4120,200,4300,200
Mahalaxmi,2014,11,32,4,26,6,-1,-1,WR,Slow,4380,190,4200,200,4380,200,4420,200,4700,200
Mumbai Central,2014,12,70,6,63,7,-1,-1,WR,Slow,4780,190,4700,200,4780,200,4820,200,5000,200
Grant Road,2014,13,29,7,26,3,-1,-1,WR,Fast,5080,190,5000,200,5080,200,5120,200,5300,200
Charni Road,2014,14,27,8,25,2,-1,-1,WR,Slow,5380,190,5200,200,5380,200,5420,200,5700,200
Marine Lines,2014,15,31,4,28,3,-1,-1,WR,Slow,5780,190,5700,200,5780,200,5820,200,6000,200
Churchgate,2014,16,40,0,36,4,-1,-1,WR,Interchange,6080,190,6000,200,6080,200,6120,200,6300,200
