Station,Order,Year,All,Deaths,Male,Female,Day,Night
Thane,1,2012,211,3,171,40,147,64
Thane,1,2013,129,27,107,22,70,59
Thane,1,2014,53,12,43,10,27,26
Mulund,2,2012,124,31,107,17,67,57
Mulund,2,2013,120,28,93,27,75,45
Mulund,2,2014,137,20,107,30,86,51
Nahur,3,2012,6,5,4,2,6,0
Nahur,3,2013,1,1,1,0,0,1
Nahur,3,2014,22,1,16,6,16,6
Bhandup,4,2012,72,25,64,8,39,33
Bhandup,4,2013,67,13,59,8,38,29
Bhandup,4,2014,47,3,41,6,32,15
Kanjurmarg,5,2012,13,8,13,0,9,4
Kanjurmarg,5,2013,4,1,4,0,2,2
Kanjurmarg,5,2014,0,0,245,0,0,0
Vikhroli,6,2012,63,0,56,7,40,23
Vikhroli,6,2013,66,9,59,7,35,31
Vikhroli,6,2014,72,18,59,0,39,33
Ghatkopar,7,2012,157,27,138,19,96,60
Ghatkopar,7,2013,138,26,125,13,90,48
Ghatkopar,7,2014,137,16,113,24,82,55
Vidhyavihar,8,2012,22,19,18,4,13,9
Vidhyavihar,8,2013,0,0,0,0,0,0
Vidhyavihar,8,2014,1,1,1,13,1,0
Kurla,9,2012,274,46,246,28,164,110
Kurla,9,2013,277,34,230,47,174,102
Kurla,9,2014,301,14,0,56,199,102
Sion,10,2012,74,50,66,8,46,27
Sion,10,2013,41,11,35,6,31,10
Sion,10,2014,41,14,35,6,27,14
Matunga,11,2012,15,5,15,0,8,7
Matunga,11,2013,3,1,2,1,3,0
Matunga,11,2014,0,0,0,0,0,0
Dadar C,12,2012,38,9,35,3,20,18
Dadar C,12,2013,39,3,28,11,23,16
Dadar C,12,2014,34,4,25,9,24,10
Parel,13,2012,29,4,18,11,21,8
Parel,13,2013,47,6,38,9,31,16
Parel,13,2014,41,3,37,4,31,10
Curry Road,14,2012,8,2,5,3,4,4
Curry Road,14,2013,0,0,0,0,0,0
Curry Road,14,2014,0,0,0,0,0,0
Chinchpokli,15,2012,13,1,11,2,10,3
Chinchpokli,15,2013,4,0,2,2,4,0
Chinchpokli,15,2014,3,1,2,1,3,0
Byculla,16,2012,5,0,5,0,1,4
Byculla,16,2013,21,3,19,2,12,9
Byculla,16,2014,30,3,26,4,22,8
Sandhurst Road,17,2012,30,25,29,1,19,11
Sandhurst Road,17,2013,19,2,18,1,9,10
Sandhurst Road,17,2014,0,0,0,0,0,0
Masjid,18,2012,24,4,21,3,16,8
Masjid,18,2013,12,1,12,0,7,5
Masjid,18,2014,1,0,1,0,1,0
CST Mumbai,19,2012,140,6,107,33,88,52
CST Mumbai,19,2013,144,3,99,45,106,38
CST Mumbai,19,2014,103,0,73,30,69,34
